start	end	text
0.1608839779005525	0.6033149171270719	aprile
1.8805393258426968	8.635685393258427	inizio a contattare a vedere quello che devo fare quindi morale della favola se io non devo fare spagnolo qua
9.482866043613708	13.013831775700936	a parigi lo farò in italia e quindi sarebbero quattro esami
14.38567901234568	14.867654320987656	da sei
16.641840193704603	22.195254237288136	più cinque se uno vengo bocciata più sei se vengo bocciata un altro che ho questo semestre di
22.661355013550136	27.59468834688347	inglese che è difficile vabbè ragà sono esaurita l'università mi esaurisce è un mondo tipo che mi
27.560000000000002	32.4733152173913	Mi saurisce, mi dispiace, per questo mi voglio prendere dopo la laurea un annetto sabbatico
33.00020066889632	36.97344481605351	che me lo merito, cioè non è sabbatico dove sto tutto giorno sul divano, ma anche se forse
36.94	41.253738019169326	so fare i miei, però non farò quello, però un annetto di pausa mentale, perché poi la
41.22	42.98470588235294	cosa mia è che a me mi piace spostarmi, non so dove vedere cosa faccio dopo, però io
46.980749279538905	51.6942939481268	sono per forza legata a Roma, perché l'università sta a Roma, quindi vuoi o non vuoi io a Roma
51.68	58.83565789473684	dovevo ritornare e mi dovevo laureare e noi qua ci lamenteremo solamente delle cose che noi effettivamente possiamo modificare
60.124761904761904	62.53355311355311	che mi laureo un mese dopo che ti laureo un anno dopo
63.283589743589744	66.01355311355312	cambia solo per le tasse però per il resto non cambia proprio niente
66.84248243559719	72.3353161592506	statemi bene ragazzi spero che anche voi non siate saurite il sabato sera tipo me adesso vado a ordine a burger king non
72.48040114613181	77.35432664756448	lo so perché mi sono agitata mi dico un attimo che ormai faccio una tisana non lo so ragazzi mi so bloccata la sgridata
77.34	78.34386100386101	l'esaurimento eppure la sgridata e va bene ragazzi
81.42282958199357	84.81369774919614	quando mi laureo festa nazionale davvero farò una mega festa in vita di tutti
84.78	88.35275985663083	perché mi libererò da questo peso che mi tiene ancorata al passato
89.10177871621623	91.18691722972973	Stademi bene e ci vediamo nel prossimo video.
