start	end	text
0.0	7.3157667386609075	differenza. E se ci pensate, là fuori troverete 10 miliardi diversi di definizioni di arte.
8.90324	15.376159999999999	10 miliardi di definizioni diverse. Eppure credo che la definizione più semplice e più onesta di
15.740689655172414	26.297210031347966	arte sia qualunque azione creativa dell'uomo che riesca a suscitare un'emozione in un altro uomo,
26.080000000000002	27.503650385604114	o in un'altra donna, ovviamente parlo di uomo come specie, questa è l'arte.
33.862808510638295	43.53651063829787	Quando guardi un dipinto e non senti niente, l'artista ha fallito. Quando guardi un film e
44.360770877944326	51.4358886509636	provi noia non è perché l'artista o il regista o lo scrittore ha voluto farti annoiare, quando provi
51.36	52.86328227571116	noia è perché manca coinvolgimento, mancando il coinvolgimento da noi, una
58.74063768115941	63.474318840579706	forma d'arte deve riuscire a provocarti delle emozioni che siano paura, che
63.44	70.45559020044543	siano tristezza, gioia o il divertimento, sono emozioni che un'opera d'arte vera
71.0213488372093	77.15558139534883	deve saperti far provare. Ora, nel cinema io credo che sia la stessa
77.06	77.70611428571429	si identica cosa un film che
