start	end	text
0.12042857142857144	3.5125	Per uscire con qualcuno, per divertirsi, non bisogna per forza spendere.
3.7002099737532808	9.234698162729657	Per impressionare, per fare bella figura in caso di appuntamenti romantici, un picnic
9.26	13.753453453453453	in natura in un bel posto al tramonto fa 100 volte un ristorante costoso.
14.040224215246637	20.915605381165918	C'è quest'idea là fuori che se non spendi non ti diverti, anzi, se non spendi non ti
20.88	21.7634375	vivi la vita, che sono più del parere opposto.
24.02	28.633981762917934	L'entrattenimento non deve per forza costare, tralasciando questo periodo storico molto
28.62	35.995760171306216	particolare, sull'entrattenimento normalmente si spende un bel po', e a fine anno è una
36.180600600600606	40.27285285285286	bella somma. Si può considerare un giro in bici, una bella passeggiata in un bel parco
40.80035443037975	46.294227848101265	o nelle montagne più vicino, visitare i luoghi turistici della zona o delle zone vicino,
46.58	50.45354385964912	ma anche semplicemente stare a casa con la propria famiglia. Non so, io adoro stare a
50.58065882352941	56.17378823529412	casa con il mio ragazzo e il mio gatto, ma anche con gli amici solitamente organizziamo
56.82	61.894334277620395	qualcosa, una cena a casa. Spesso si parla di sacrifici, per me nulla è un sacrificio
61.9	68.0351111111111	se non hai visto come è tale. Io adoro risparmiare, mi piace dare valore al mio tempo, al mio
68.02	73.41457994579946	denaro e agli oggetti che possiedo. Se avessi tanti soldi preferirei lavorare meno che
73.42	79.6951573849879	spendere di più. È tutto uno scambio e si tratta di cosa sei disposto a rinunciare per
79.86039900249376	85.15356608478804	avere dei soldi extra nel conto. Io rinuncio tranquillamente alle unghie fatte dall'estetista,
85.9606267806268	90.79435897435897	non vedo l'ora di andare alle terme e farmi un massaggio e posso permettermelo perché
93.62778082191781	97.31786301369863	rinuncio ad altre cose per me meno importanti. Quello che so è che non mi succederà mai,
96.1	103.8759342915811	guardandomi indietro, di pensare se solo avessi comprato quelle scarpe o quella tazza
103.86	105.84525198938992	o quel mobile o se solo avessi preso cibo da sport più volte a settimana, ma piuttosto
109.56041297935101	113.85303834808259	se solo avessi risparmiato un po' di più. Guardando indietro sono felice di non aver
114.22	120.65496503496503	scambiato il mio denaro con certi prodotti o servizi e adesso vedo i risultati positivi.
120.94034985422739	125.71422740524781	Questo per me è vivi una sola volta, non scambiare questa mia unica possibilità di
125.92057441253264	131.3747780678851	vivere per ciò che è superfluo, per ciò di cui posso farne a meno. Sul denaro e sul
131.4000282079646	134.9049646017699	risparmio ho fatto anche questi due video.
